Name|score|condition|slots|machine|part|effect|learn
Avoid 80|4|All Weapons (def); attack damage at or below 80|3|Yongsai 3|Legs|Any damage at or below 80 is reduced to 0.  If you use this skill, you'll take a hit of 3 slots; however, the ability to avoid all 12 shots from a shotgun or all 11 shots from a flamer, as long as they do 80 damage or less, makes this a very useful skill.  You could nullify as much as 920 damage from a shotgun this way.  However, the skill doesn't activate very frequently, so be sure to equip it on a high activation computer.|Play the JDF Test Facility simulation and just let the enemies with machineguns beat you up a lot.  You can learn it pretty easily this way, though it may take some time at first.  It helps to kill anyone using missiles or melee, since they 1probably1 won't activate the skill.  If you still can't seem to learn it, try a simulation that does damage closer to 60 or 80.
Backup Fire|3|Melee; must have a ranged weapon ally close enough to fire on enemy|3|Rekson M4F|Arm|This skill asks an ally with a gun to shoot the enemy before you hit it with your melee weapon.  The ally must be in range.  You also get to go first (before the enemy), despite using a melee attack.  Unfortunately, it's a bit hard it learn & activate.|Make sure you keep a ranged wanzer in range of the enemy you punch.
Backup Melee|2|Range; must have a melee equipped ally close enough to attack enemy (1 square away from enemy)|3|Yongsai 3|Body|Asks an ally with a melee weapon to punch the enemy before you fire.  You also get to attack before the enemy does, even if you're counterattacking.  Unfortunately, it's a bit hard it learn; harder even than Bkup Fire.  It's also got a low activation rate once you learn it.|Make sure you keep a melee wanzer next to the enemy you attack with this wanzer.
Blackout|2|No Grenades; Enemy must be equipped with battle skills|1|Mingtian 1|Legs|Disables the enemy's battle skills for a turn.  This skill is useful in a very limited number of battles.  Unless you really feel you need it, or just want to learn it for completion's sake, you can safely skip it.  If you do equip it, it should activate quite frequently, keeping the enemy's skills from activating during that engagement.|This one's hard, because none of the simulators have enemies with battle skills, and enemies rarely have skills anyway.  Just go into battle in one of the storyline skirmishes and make sure the enemy has some skills of some sort.  Once you satisfy those conditions, it should aquire quite easily (especially in a boss fight).  In fact, in some battles you can't help but learn it all 6 times before the fight is over.  ;)
Body Smash|5|1 shot, melee, missile|5|Hoshun Mk112|Arm|This is basically the ultimate skill, a 1-hit kill that cannot be dodged once it activates.  It takes 5 of your 6 slots, and will probably require a high activation computer to activate nearly as often as you like, but... when it does, bam, the enemy is dead.  It will only work with 1-hit weapons, but fortunately that includes missiles and even hardblow.  Fire away!|
Brace 1|2|No shoulder weapon; you must go first|1|Kyojun Mk107|Legs|This skill can be a help or a headache, depending on the circumstances.  The enemy gets to go first, but you take 50% less damage.  If you don't mind going last, this can be a huge help.  Unfortunately, this skill also has the obnoxious tendency to activate when you could go first and deliver the finishing blow to your enemy, avoiding any damage at all; but instead, the enemy goes first and does some damage to you before you can kill him.  So in other words, take care in using this skill.  It can help a lot when used right.|
Brace 2|4|No shoulder weapon; you must go first|2|Tieqi 4|Legs|The enemy gets to go first, but you take 70% less damage.  That's like using a shield and also getting to attack with your gun in the same move!  The only problem is, like BraceI, sometimes it may activate when you don't want it to, like when you're about to go first and kill your enemy before he can counterattack.  However, you'll only take 30% damage, and that's fairly reasonable, even in such circumstances.|
Chaff|4|All Weapons (def); Must be attacked by a missile|1|Drake M2C|Body|Makes you invulnerable to any missiles the enemy fires if it activates.  The enemy could even use salvo and you would dodge every one!  It also takes only 1 slot, will activate even if you use a shield (and you avoid losing durability), and activates at a reasonable frequency.  It's great to fill in an empty slot in any combo, especially on a high activation computer with something like body smash.|Pick this character first (since the first character usually gets attacked the most) and provoke some enemies into attacking you with missiles.
Def-C+1|1|No shoulder weapon; defense class cannot already be maxed|1|Genie|Body|One of many stat increasers, this skill simply increases your defense class by 1.  It can be a handy filler when you have an extra slot, and it does activate reasonably often.  You get the most benefit if you assign 2-3 AP already (the higher levels are more beneficial).|Set your damage class to a type you'll likely encounter a lot in the battle you're fighting.  It helps if you assign at least 1 AP, but less than 3.
Def-C+2|1|No shoulder weapon; defense class cannot already be maxed|2|Laiying 1|Body|Like Def-C1, this skill raises it by 2.  Normally I can think of lots of other uses for 2 slots, but there are times when this would be useful.|Set your damage class to a type you'll likely encounter a lot in the battle you're fighting.  It helps if you assign at least 1 AP, but less than 3.
Def-C Max|2|No shoulder weapon; defense class cannot already be maxed|3|Mingtian 1|Body|This skill raises your defense class to the max, level 4.  It's most effective if you're only assigning 0 or 1 AP to your defense class; if you're at level 3, you should instead settle with Def-C1 to avoid waste.  If you're using a core with a really high max (like 60%), this can be quite useful since you can occasionally block the damage without assigning any AP.  Still, I can think of a better use for 3 slots on a high-activation computer, and you most definately shouldn't rely on this skill to save you every turn, or even very often.|Set your damage class to a type you'll likely encounter a lot in the battle you're fighting.
DMGFix100|3|All Weapons (def); damage must be between 101 and 200|1|Kyokei Mk108|Legs|Any damage between 101 and 200 will be capped to 100.  You can usually shave 25-50% damage when this skill activates, as long as it's in the damage range.  If the attacks are doing too much damage, consider using DmgFix200 or setting your defense class to reduce the damage back into range.  If the enemy is doing too little damage, consider using Avoid80 (which is a better move anyway).  Like all the DmgFix skills, this skill only takes 1 slot.  It's great against fists, rifles, and missiles early in the game, but does nothing against burst weapons, which will almost never do more than 100 damage, and even if they did, it wouldn't be by much.|Fight enemies that will do 101-200 damage to you, such as the melee enemies in the JDF test facility simulation.
DMGFix200|3|All Weapons (def); damage must be between 201 and 400|1|Qibing 0|Legs|Any damage between 201 and 400 will be capped to 200.  You can usually shave 25-50% damage when this skill activates, as long as it's in the damage range.  If the attacks are doing too much damage, consider using DmgFix400 or setting your defense class to reduce the damage back into range.  If the enemy is doing too little damage, consider using DmgFix100.  Like all the DmgFix skills, this skill only takes 1 slot.  It's great against fists, rifles, and missiles, but does nothing against burst weapons.|Fight enemies that will do 201-400 damage to you.  Fist and rifle users make a good start.
DMGFix400|3|All Weapons (def); damage must be between 401 and 800|1|Shunyo Mk111|Body|Any damage between 401 and 800 will be capped to 400.  You can usually shave 25-50% damage when this skill activates, as long as it's in the damage range.  If the enemy is doing too little damage, consider using DmgFix100 or 200.  Like all the DmgFix skills, this skill only takes 1 slot.  While it will never activate against burst weapons or most rifle attacks, this skill is great against fists and missiles late in the game.  It also helps against bosses who use the Basic P-Gun against you, as well as their missiles.  Beware the low activation rate of this skill.|This one's harder than the others, since enemies rarely do more than 400 damage before the end of the game, and those that do can kill you quite quickly.  It also has a lower acquire rate, so patience is key.  The Fukushima simulator is a great place to start.
Double Assault|3|Melee and Range equipped; must attack at melee range.|2|Zenislev|Arm|If you're at melee range and you attack with either your melee weapon or your gun, this skill may activate allowing you to attack with both.  It's a powerful combo, but unfortunately like all the double skills, it requires that you not equip a shield, and doesn't activate quite as often as you may like.  It combos well enough with other skills, and makes good use of a fist early in the game that may otherwise remain unused in a fist with gun setup.|Simply satisfy the conditions and make sure you're always in melee range.  It may even activate when you're counterattacking.
Double Punch 1|3|Right/Left arm equipped with same melee weapon.|2|Grapple M1|Arm|This skill lets you attack twice, once with each melee weapon in your hands.  This can do deadly damage, and the animations are cool.  However, you can't have a shield equipped, and often you can do more damage and activate more often on a medium activation computer with 2 stun punches or some skill+1's equipped instead.  This skill does chain pretty good, and is very helpful if your heart's not set on using a shield.|
Double Punch 2|3|Right/Left arm equipped with different melee weapons|2|Wude 3|Arm|Like Double Punch1, this skill lets you attack twice, once with each melee weapon you're equipped with.  The difference is, they can't be the same melee weapon.  So, a fist, batan, or spike in one hand, and one of the other 2 in the other hand.  This would be useful because then you could equip both a fist and spike and have the benefit of both piercing and impact damage types at your disposal, but unfortunately spikes and batans are so much weaker than fists that you'll almost always do more damage with a fist despite the enemy's defense class, unless it's extremely high (like 40-60%), which it usually isn't.  Also, like Double Punch1 and all the other double skills, you're quite often better off chaining 2 1-slot skills together on a medium combo computer, since you'll do more damage and it will probably activate a lot more frequently.|
Double Shot 1|3|Right/Left arm equipped with same ranged weapon|2|Prov PAW2|Arm|This skill just has a cool feeling all over it, despite some drawbacks.  You get to attack with both weapons in your hands, dealing basically double damage.  Just make sure you have decent accuracy upgrades on both arms so you don't miss a lot with one of them.  Another nice quirk is the cool animations you get, like with the machine gun.  Unfortunately (and I just know I'm going to make tons of enemies for bashing the Double skills like this), the double skills require that you not equip a shield, which leaves you very vulnerable.  Also, you might consider chaining 2 1-slot skills together on a medium combo computer, since you'll do more damage and it will probably activate a lot more frequently.  Still, this skill combos pretty well, and like all the double skills, it is a lot of fun to watch.  The flamer gets quite a benefit from it since you attack twice for the AP of one attack.|
Double Shot 2|4|Right/Left arm equipped with different ranged weapon; in range for both weapons.|2|Shangdi 1|Arm|This skill is actually much more useful than Double Shot1.  You're required to have different weapons equipped to the right and left arms, and it only takes the AP of the weapon you fired with.  So, you could get 11 shots out of the flamer in addition to firing your shotgun, all for only 3 AP!  (note that you should press Square and select the flamer, make sure it's set to 11 AP, and then reselect the other weapon, so you're sure that you'll get 11 shots from it).  That's not all... consider pairing the Heavy P-Gun with the Rifle.  You attack with the rifle, using 4 AP, and then you get to attack with the Heavy P-Gun for free!  The skill also activates in counterattacks, and combos pretty well like the rest of the Double skills.  If you're ok with not equipping a shield, this skill should serve you well.|If your primary weapon is weak, and the unused weapon is very powerful, and the enemy would be killed or brought to near death if you used it, there's a higher chance this skill will activate.
E-Acc Null|3|No shoulder weapon; enemy must have at least 1 accuracy upgrade|3|Shangdi 1|Body|This skill totally wipes out the enemy's accuracy upgrades, allowing your evade, height, and any obstacles in the way to take full effect.  This is usually devastating to enemies late in the game since they've grown quite confident with their 162% etc chance of hitting.  Reduced to 50-70% and they're not laughing anymore.  Quite often, the combined effect of all factors plus this skill could reduce their accuracy to 10-30%.  Since it requires 3 slots to equip and doesn't activate all that often, you're best off putting it on a high activation computer to get the full effect and reliability.|
E-Acc-1|1|No shoulder weapon; enemy must have at least 1 accuracy upgrade|1|Pare PAW1|Body|Reduces the enemy's accuracy upgrade by 1.  This is most effective when the enemy's accuracy is at level 3-4, and you have a high evade; or at the beginning of the game.  Really, it's not a very outstanding skill.|
E-Acc-2|1|No shoulder weapon; enemy must have at least 1 accuracy upgrade|2|Wude 3|Body|Reduces the enemy's accuracy upgrade by 2.  This is most effective when the enemy's accuracy is at level 3-4, and you have a high evade, or at the beginning of the game.  Really, it's not a very outstanding skill.|
E-Def-C Null|2|No grenades; enemy must have at least 1 defense class upgrade|3|Whisk|Body|This skill totally wipes out your enemy's defense class, allowing your attack to break right through and do full damage.  However, it takes 3 precious slots so make sure you can spare them and use a high activation computer.  I think there are better skills to equip, personally.|
E-Def-C-1|1|No grenades; enemy must have at least 1 defense class upgrade|1|Meledyne M1|Body|This skill reduces the enemy's defense class by 1 level.  This is handy when your enemy is defended against your attack and is at a fairly high level, such as 3 or 4, because those high levels have the most increase (level 1 and 2 usually only add 5-10%, usually not much to worry about, so try to go for 3 and 4).  It also takes only 1 slot and activates fairly frequently, so maybe give it a try.|
E-Def-C-2|1|No grenades; enemy must have at least 1 defense class upgrade|2|Tieqi 4|Body|This skill reduces the enemy's defense class by 2 levels.  It's handy when your enemy is defended against your attack by 3 or 4 levels, as those high levels have the most effect (level 1 and 2 usually only add 5-10%, usually not much to worry about, so try to go for 3 and 4).  It also takes 2 slots and activates reasonably frequently.  Still, if you have an extra slot, go with E-Def-CNull to wipe out their defense class completely, or another move entirely.|
E-Evade Null|2|No grenades; enemy must have at least 1 evade upgrade|3|Shunwang 1|Body|This skill boosts your evasion right up to level 4.  This is great for legs that have 47% evasion, or the Hoshun legs which have 59% evade.  If you equip this on a high activation computer, you might be able to get away with not assigning any AP at all to your evade.  Otherwise, I can think of some better ways to spend 3 slots...|
E-Evade-1|1|No grenades; enemy must have at least 1 evade upgrade|1|Zeros|Body|This skill increases your evasion by 1.  It's an ok skill and it activates at a decent rate, but frankly it's not all that useful. Equip it if that's all you've got right now, or if you're early in the story line and can't upgrade your evade fully yet.  I can still think of a better use for a slot though.|
E-Evade-2|1|No grenades; enemy must have at least 1 evade upgrade|2|Vinedrai|Body|This skill increases your evasion by 2.  It's an ok skill and it activates at a decent rate, but frankly it's not all that useful.  Equip it if that's all you've got right now, or if you're early in the story line and can't upgrade your evade fully yet.  I can still think of a better use for two slots though.|
Eject Punch|5|Melee; enemy wanzer must have a pilot (not abandoned or on autopilot)|1|Tiandong 3|Arm|Knocks the enemy out of his wanzer, disabling him for at least a turn and making him very vulnerable to attack.  This is an excellent way to capture wanzers.  Also note that if you attack first, the enemy's attack will be cancelled because they were ejected.  Unfortunatly, this skill doesn't chain well.  If it activates, the chain ends, even if it misses.|
Escape|3|All Weapons (def); part is about to be destroyed|1|Foura M12A|Legs|If the enemy is about to destroy a part, this skill may activate.  It will completely cancel the enemy's attack.  If you attacked first, this means you got a free attack and avoided the counter attack.  However, if the enemy attacks first, it will cancel his attack and yours too.  This may, however, be better than losing the part.|Expose yourself to a lot of situations where the enemy is about to destroy one of your parts.  The Taipei and Fukushima simulations are good places to go.
E-Skill-1|1|No shoulder weapon; enemy's skill must be higher than A|1|Rekson M4F|Legs|Reduces the enemy skill by 1 for all their attacks during that turn.  Not all that thrilling.|Fight enemies with skills higher than A.
E-Skill-2|1|No shoulder weapon; enemy's skill must be higher than A|2|Getty|Legs|Reduces the enemy skill by 2 for all their attacks during that turn.  Not all that thrilling.|Fight enemies with skills higher than A.
E-Skill-3|1|No shoulder weapon; enemy's skill must be higher than A|3|Wude 3|Legs|Reduces the enemy skill by 3 for all their attacks during that turn.  Not all that thrilling, and a terrible waste of 3 slots.|Fight enemies with skills higher than A.
Evade+1|1|No shoulder weapon; evade must not already be maxed|1|Pare PAW1|Body|Increases your evade by 1 level.  Useful for legs with high evade early in the game when you can't get level 3 or 4 upgrades.|It helps if you have at least 1 AP assigned to your evade, but don't have it maxed out.
Evade+2|1|No shoulder weapon; evade must not already be maxed|2|Whisk|Legs|Increases your evade by 2 levels.  Useful for legs with high evade early in the game when you can't get level 3 or 4 upgrades.|It helps if you have at least 1 AP assigned to your evade, but don't have it maxed out.
Evade Max|2|No shoulder weapon; evade must not already be maxed|3|Shunwang 1|Legs|Maxes out your evade to level 4.  Useful for legs with high evade early in the game when you can't get level 3 or 4 upgrades, or simply when you don't want to dedicate the AP to them.  Equip it on a high activation computer for maximum effect.  But don't count on it activating every turn to save you.  Also, as good as evade can get, the best it can do is around 50% or so.  Other skills may suit you better.|It helps if you have at least 1 AP assigned to your evade, but don't have it maxed out.
EXP x2|3|No grenades|1|Drake M2C|Legs|Doubles the experience you get.  It's useful in the beginning and middle of the game if you want to bring up the rank of your weapon, but if you take it too high, you'll start to miss out on platinum medals.  Be sure to bring along some rank A weapons you can use every once in a while to lower the average rank if that happens.|
EXP x3|3|No grenades|2|Shangdi 1|Legs|Triples the experience you get.  Great when it activates after killing a monster wanzer!  It's useful in the middle & end of the game if you want to bring up the rank of your weapon, but if you take it too high, you'll start to miss out on platinum medals.  Be sure to bring along some rank A weapons you can use every once in a while to lower the average rank if that happens.|
EXP x4|3|No grenades|3|Vinedrai|Legs|Quadruples the experience you get.  You can get several thousand experience for killing some wanzers!  It's useful in the end of the game if you want to bring up the rank of your weapon.  I personally prefer Exp x3 because it takes only 2 slots, allowing for some of the more valuable skills to fit in my computer, but this move is nice nonetheless.  In the Emma missions you don't have to worry much about weapon rank getting too high, but in the Alisia missions you often get penalized even near the game's middle/end, so be sure to bring along some rank A weapons to lower the average.|
Fast Attack|4|No shoulder weapon|2|Jinyo Mk110|Legs|You get to attack first, and the enemy doesn't get to counterattack at all.  This skill also chains well, meaning you can get a fast attack, and then a couple ROFUP1's to seal the deal.  The enemy completely misses out on his counterattack.|This skill activates at a moderate rate, but it has a bit of a low acquire rate.  Just stick with it, and you'll eventually learn it.
Firing Squad|5|Range; Must have 2 allies within attack range, using ranged weapons|3|Getty|Arm|Mmmmm.... You and 2 other allies gang up on an enemy.  Your 2 allies fire before you, and then you get your shot in.  The enemy doesn't get to go first, even if he was going to before the skill activated.  He'll get his turn if he's alive afterwords...  Three on one sounds like my style of battles.  :)|This skill is surprisingly easy to learn, as long as you satisfy the conditions.  It's more powerful than BkupMelee or BkupFire, yet it acquires a lot more easily too.
Gang Beating|2|Melee|3|Lenghe 1|Legs|Uhh... Despite the awkward connotation of its name, Gang Beating can be a fairly decent skill.  It's the melee equivalent of Firing Squad.  You and 2 allies take turns punching the enemy into smitherines.  You get to go before the enemy too, which is great for a melee attack.  The only problem is, with Firing Squad you have a lot more freedom of placement of wanzers; however, with this skill you can only attack 1 square away, so you'll have to have surrounded the enemy with at least 3 melee attackers, which can be hard & tedious.|The low acquire rate of this skill makes it a bit of a chore to learn.  Plus, it's hard to position 3 melee allies so that they can all hit, then pound the enemy until the skill activates without killing him first.  Try equipping weaker melee weapons if this happens (hardblow is good), and be sure to make use of the high acquire computer.
Guard Body|2|All Weapons (def)|1|Prov PAW2|Legs|This skill diverts attacks from your body to your arms AND legs.  The good news is your body will be protected.  The bad news is, the damage isn't reduced at all, and thus can wreak havoc on the rest of your bot.  You might end up with no arms and no legs, but a refreshingly healthy body.|This skill is a bit hard to learn, because it takes a while to activate, and in the mean time, you're stuck with hover legs that only go 4 squares.  Fortunately, the legs have good evade & health, and the skill is possible to learn.  Just make sure you have the acquire up computer.
Hard Knocks|1|No Grenades; You have to be almost dead and then some...|1|Grezex|Legs|If your wanzer is about to die, this skill *may* activate.  It boosts your attack damage by 30%, but that seems like too little, too late at this point.  Your wanzer has to be so damaged that this skill is best reserved for those delightful surprises you weren't counting on getting.  It's usually not worth equipping, even though it only takes 1 slot.  However, it does combo, so you may get a few SkillUp1's and ROFUP1's afterwords.|The best way to learn this is to fight enemies with shotguns or machineguns (preferrably shotguns), or have a hardblow battle after draining an enemy's missiles.  They should be weak enemies, like in the Taal Base simulator or lower.  Buy all new parts and don't upgrade their health, except maybe some on your weapon arm and body (to ensure they outlive the other arm & legs.  Also make sure your parts have fairly equal health.  The enemy's shotguns will reduce the parts' health equally, but the unused arm and legs will be destroyed first.  About this time your body and weapon arm will be near death too (around 1/8 or 1/10 HP), and when you attack next, the skill will likely activate.
Hit or Miss|2|Burst|1|Kyokei Mk108|Arm|The bullets from your weapon will either all hit, or they will all miss.  I'm not completely sure this is right, but I'm guessing the chances of hitting are equal to the chances displayed when you prepare your attack.  For example, if you aim your shotgun at an enemy and it displays 70% chance, that normally means that each bullet has a 70% chance of hitting.  But when this skill activates, the entire attack has a 70% chance of hitting, and 30% chance of missing entirely.  If that's true, then it's a bad skill to use when you have a 10% chance, since there's a 90% chance that not a single bullet will hit.  Thus, this skill is best used when you have 70-95% or so chance of hitting, because it will usually not miss, and will cause all your bullets to hit, increasing your average damage per attack.  It will also chain with other skills.  I still prefer ROFUP1.  :)|Standard stuff.  Just equip a burst weapon.  This skill doesn't seem to activate quite as often as ROFUP1 etc so be patient.
Initiative 1|1|No shoulder weapon|1|Zenislev|Legs|You get to attack first, but you take 1.5x as much damage when the enemy attacks.  Usually going first isn't worth that kind of stipulation, but it does have its uses.|Use melee attacks or fight in a lot of counter attack battles where you go last.
Initiative 2|2|No shoulder weapon|2|Zeros|Legs|You get to attack first, but you take 1.2x as much damage when the enemy attacks.  It's a little better than initiative1 (the damage is manageable), but it takes another slot, too.|Use melee attacks or fight in a lot of counter attack battles where you go last.
Initiative 3|2|No shoulder weapon|3|Lenghe 1|Body|You get to attack first, and you don't get any extra damage penalty.  Unfortunately it takes 3 slots.  If this skill seems appealing, be sure to use a high activation computer.|Use melee attacks or fight in a lot of counter attack battles where you go last.
Leg Smash|3|1 shot, melee, missile|4|Enyo Mk109|Arm|One of 4 Smash attacks, Leg Smash instantly destroys the enemy's legs.  If you see the skill activate, it's guarenteed to hit.  It's quite handy for wiping out the enemy's legs so they can't jump or pursue you, or to drop their evade down to nothing.  Unfortunately, 4 slots is a heavy price (I prefer arm smash, personally).  It's still quite useful, however, especially when arm smash is not yet available.|
Melee 1|3|Melee|1|Kyokei Mk108|Body|This skill increases the melee skill by 1.2x for one attack.  While Skill+1 increases by a set amount (only 1), the melee up skills increase by percentage, meaning they can strongly increase your attack power if your rank is already medium to high.  This skill also chains quite well.|
Melee 2|2|Melee|2|Kasel M2|Body|This skill increases the melee skill by 1.5x for one attack.  As said with Melee1, this skill benefits a great deal if your rank is already fairly high.|
Melee 3|3|Melee|3|Grapple M1|Body|This skill doubles the melee skill for one attack.  As said with Melee1, this skill benefits a great deal if your rank is already fairly high.  If you're half-way, you can max out the rank.  (note: No word yet if this affects the average damage rating on your platinum...)|
Panic Shot|3|Range|1|Meledyne M1|Arm|Confuses the enemy (which makes all their attacks take 3 extra AP).  This skill also chains well with others.  If you're fighting enemies that need a lot of AP, confusing them can help.|
Pilot DMG 1|5|All Weapons|1|Drake M2C|Arm|The best of the Pilot Damage skills, this attack takes only 1 slot and will do 7 pilot damage with a rifle (I'll try to find out the damage for the other weapons the future).  3 rifle attacks and that pilot dies, leaving a relatively healthy wanzer for the taking!  The skill also chains extremely well, even with itself (meaning 3 pilot damage 1's with a rifle in one turn and the enemy is doomed).  Great for capturing or disabling deadly or valuable wanzers.  Note that it won't work against some bosses.|
Pilot DMG 2|2|All Weapons|2|Laiying 1|Arm|This skill isn't as good as the Pilot DMG1.  The damage increase isn't large enough to justify taking another slot.  You do about 9 damage with a rifle.|
Pilot DMG 3|3|All Weapons|3|Genie|Arm|This skill isn't as good as the Pilot DMG1.  The damage increase isn't large enough to justify taking 3 slots.  However, it does push the damage high enough that using it twice with a rifle will kill an enemy pilot, as rifles will do 11 damage.  Still, 3 slots is just such a waste...  Make sure it's on a high activation computer, whatever you do, or it may not activate twice and you'll never reap the benefits of the damage you've already done.|
Pilot Eject|1|No Shoulder Weapon; Your wanzer must be destroyed|1|Foura M12A|Body|If your wanzer gets destroyed, this skill may eject your pilot before he gets killed, placing him on the square his wanzer was at.  However, now what?  That pilot is as good as dead now.  If you could equip your pilots with sniper rifles (like the enemy pilots) or something capable of doing more than 18 damage, this skill could be worthwhile.  Otherwise, all your pilot can do is draw enemy fire and eventually die.|What can I say?  Get killed a lot.
Prevent Loss|2|All Weapons (def)|1|Enyo Mk109|Legs|If the enemy is about to destroy a part, this skill will activate.  The part will be saved, but its health is reduced to 1.  This would be great, except that sometimes the skill activates when a part won't be destroyed, and reduces its health to 1 when it should have been healthy.  :(|Subject yourself to a lot of punishment.  It should activate fairly easily.
